,KMeans,GMM,FuzzyCMeans,Agglomerative,Spectral
0,0.3952956185322333,0.328507957190356,0.3905603141151457,0.3541159928113123,0.3875178385192384
1,0.3952979950827529,0.3287258206120245,0.3905603141151457,0.3541159928113123,0.3876321060692081
2,0.3952983161496279,0.3287399060955726,0.3905603141151457,0.3541159928113123,0.3875458896427645
3,0.3953136765744663,0.328725716481789,0.3905603141151457,0.3541159928113123,0.3876362266662599
4,0.3952954870067814,0.3285056943741796,0.3905603141151457,0.3541159928113123,0.3875293969595209
5,0.3953074718012564,0.3285626658540572,0.3905603141151457,0.3541159928113123,0.3876470748414382
6,0.3952871775200072,0.328507957190356,0.3905603141151457,0.3541159928113123,0.3875608856438366
7,0.3952844710890223,0.3285975492268929,0.3905603141151457,0.3541159928113123,0.3876450282223957
8,0.3952985996179933,0.3284785320543784,0.3905794803005389,0.3541159928113123,0.3875998440782115
9,0.3952930872146197,0.328507957190356,0.3905794803005389,0.3541159928113123,0.3875954400459655
10,0.3952916367801064,0.3286991765099256,0.3905794803005389,0.3541159928113123,0.3876608104643645
11,0.3952916367801064,0.3287137065305489,0.3905603141151457,0.3541159928113123,0.3876470748414382
12,0.3953158695958302,0.3284667636382372,0.3905603141151457,0.3541159928113123,0.3876415430959265
13,0.3953231757376487,0.3287576660973804,0.3905794803005389,0.3541159928113123,0.3876470748414382
14,0.3953133981887882,0.328715182784821,0.3905603141151457,0.3541159928113123,0.3875591676564253
15,0.3952904901755033,0.328690593644144,0.3905603141151457,0.3541159928113123,0.3876519622673167
16,0.3952885246035347,0.3284854116735386,0.3905603141151457,0.3541159928113123,0.3875433146455475
17,0.3953027031333235,0.328507957190356,0.3905603141151457,0.3541159928113123,0.3876747135008933
18,0.3952972106015237,0.3286991765099256,0.3905603141151457,0.3541159928113123,0.3875608856438366
19,0.3953288215591231,0.3286991765099256,0.3905794803005389,0.3541159928113123,0.3876851866818087
20,0.3952967288171876,0.3284649550627604,0.3905603141151457,0.3541159928113123,0.3876207025882987
21,0.3953006820796612,0.3286991765099256,0.3905603141151457,0.3541159928113123,0.3876019885953957
22,0.3953027309543633,0.3287576660973804,0.3905794803005389,0.3541159928113123,0.3876470748414382
23,0.3952979950827529,0.3284785320543784,0.3905794803005389,0.3541159928113123,0.3876747135008933
24,0.395339147512326,0.3285975492268929,0.3905603141151457,0.3541159928113123,0.3875523494149031
25,0.3952916367801064,0.3284665717610462,0.3905794803005389,0.3541159928113123,0.3875118042832028
26,0.3953373563199959,0.328715182784821,0.3905603141151457,0.3541159928113123,0.3876362266662599
27,0.3952930872146197,0.3284649550627604,0.3905603141151457,0.3541159928113123,0.3876581424039487
28,0.3952930872146197,0.328725716481789,0.3905603141151457,0.3541159928113123,0.3875258336895038
29,0.3953023386110304,0.3286091335310524,0.3905656013387024,0.3541159928113123,0.3876072517348855
