,KMeans,GMM,FuzzyCMeans,Agglomerative,Spectral,Max,Min
68,0.079298211928254,0.07919259162132404,0.08376004207699808,,0.08205263218596673,FuzzyCMeans,GMM
94,0.0795335686158192,0.07919259162132404,0.08373050311047274,,0.08208729615395348,FuzzyCMeans,GMM
60,0.0795335686158192,0.07907990704267338,0.08373050311047274,,0.08210465139871437,FuzzyCMeans,GMM
17,0.07950473617115447,0.08249315824698342,0.08376004207699808,,0.08208729615395348,FuzzyCMeans,KMeans
1,0.07937052457116714,0.07914060244648151,0.08376004207699808,,0.08198349043859354,FuzzyCMeans,GMM
63,0.0795335686158192,0.07916442558178875,0.08376004207699808,,0.08205263218596673,FuzzyCMeans,GMM
11,0.07953906429435247,0.08260965489496297,0.08376004207699808,,0.08217451699594841,FuzzyCMeans,KMeans
77,0.0795335686158192,0.08302014425463633,0.08376004207699808,,0.08205263218596673,FuzzyCMeans,KMeans
4,0.07918482532618996,0.08276396227406947,0.08376004207699808,,0.08139246108002407,FuzzyCMeans,KMeans
45,0.07876983090553455,0.08245755451533449,0.08376004207699808,,0.08205263218596673,FuzzyCMeans,KMeans
24,0.0795335686158192,0.08259173075056218,0.08376004207699808,,0.08217451699594841,FuzzyCMeans,KMeans
15,0.0795335686158192,0.08281834841258465,0.08376004207699808,,0.08219197818288308,FuzzyCMeans,KMeans
3,0.07876983090553455,0.07920669861335763,0.08373050311047274,,0.08206995641514661,FuzzyCMeans,KMeans
42,0.0795335686158192,0.08235111414228814,0.08376004207699808,0.13510624999037749,0.08206995641514661,Agglomerative,KMeans
32,0.0795335686158192,0.07923496053257481,0.08376004207699808,,0.08206995641514661,FuzzyCMeans,GMM
21,0.0795335686158192,0.07898284946337575,0.08376004207699808,,0.08205263218596673,FuzzyCMeans,GMM
62,0.0795335686158192,0.08259173075056218,0.08373050311047274,,0.08210465139871437,FuzzyCMeans,KMeans
7,0.07951914442745828,0.08302014425463633,0.08376004207699808,,0.08196624381226592,FuzzyCMeans,KMeans
0,0.07805477474487894,0.08302014425463633,0.08376004207699808,,0.08221835224600504,FuzzyCMeans,KMeans
78,0.07832823999861611,0.08302014425463633,0.08376004207699808,,0.08156690594506788,FuzzyCMeans,KMeans
9,0.0783958841941234,0.08281834841258465,0.08376004207699808,,0.08217451699594841,FuzzyCMeans,KMeans
61,0.07879249290988379,0.0794269794218446,0.08373050311047274,,0.08208729615395348,FuzzyCMeans,KMeans
57,0.07865457459490507,0.07916442558178875,0.08376004207699808,,0.08210465139871437,FuzzyCMeans,KMeans
84,0.07817662133985319,0.08249315824698342,0.08376004207699808,,0.08205263218596673,FuzzyCMeans,KMeans
19,0.0795335686158192,0.07916442558178875,0.08376004207699808,,0.08206995641514661,FuzzyCMeans,GMM
56,0.07947596746320469,0.07923496053257481,0.08376004207699808,,0.08206995641514661,FuzzyCMeans,GMM
2,0.07867266475231541,0.0808750195163029,0.08376004207699808,,0.08221835224600504,FuzzyCMeans,KMeans
14,0.0783958841941234,0.07917850061017916,0.08376004207699808,,0.08219197818288308,FuzzyCMeans,KMeans
87,0.0795335686158192,0.08302014425463633,0.08376004207699808,,0.08141703926333,FuzzyCMeans,KMeans
46,0.0795335686158192,0.07933556464932721,0.08376004207699808,,0.08201803027112338,FuzzyCMeans,GMM
Average,0.07916132215757331,0.08102213282456013,0.08375511891591053,0.13510624999037749,0.08203099335018546,Agglomerative,KMeans
