,KMeans,GMM,FuzzyCMeans,Agglomerative,Spectral,Max,Min
68,0.18023760411889828,0.2064351941171993,0.162411822880827,,0.3011183047949576,Spectral,FuzzyCMeans
94,0.1823558483081805,0.19474290229533267,0.17409966044611966,,0.30107394195373255,Spectral,FuzzyCMeans
60,0.16824246518039115,0.19532943907770844,0.1670796385947752,,0.30134248484658355,Spectral,FuzzyCMeans
17,0.16645366633421638,0.20147898313114648,0.18377602244362568,,0.2978657810713876,Spectral,KMeans
1,0.17940302127399566,0.23149525115231545,0.16458696391690317,,0.29411882078332185,Spectral,FuzzyCMeans
63,0.17717714468348134,0.19517452378884978,0.16696760793024928,,0.29566564558801156,Spectral,FuzzyCMeans
11,0.17653238061910484,0.19043023718903812,0.1709632754812882,,0.30249829260539374,Spectral,FuzzyCMeans
77,0.17246570536735056,0.18603876725652294,0.16491099883980984,,0.2982279848793363,Spectral,FuzzyCMeans
4,0.17401251371130216,0.18672908221337042,0.17400687848057322,,0.2986584839831289,Spectral,FuzzyCMeans
45,0.17201259754037312,0.18697444435049004,0.17691121476059346,,0.3327930580732238,Spectral,KMeans
24,0.18222866064727616,0.1954455151511735,0.1690976119077599,,0.3028323375026081,Spectral,FuzzyCMeans
15,0.17846253599757345,0.19098797655767819,0.16722568721526052,,0.3287976278176093,Spectral,FuzzyCMeans
3,0.1810433920233717,0.19135547840358175,0.1731231320035383,,0.2973575165733226,Spectral,FuzzyCMeans
42,0.1760129604585329,0.19384838867556017,0.1665406520811197,0.22043448456656878,0.29862241009708407,Spectral,FuzzyCMeans
32,0.17241577792050003,0.20581178692608737,0.17938963969561877,,0.3413640690298251,Spectral,KMeans
21,0.185834454976538,0.20549608798301744,0.1769138826682601,,0.3014135624231864,Spectral,FuzzyCMeans
62,0.17933972551446645,0.20691897671036713,0.1801594568124908,,0.31563342083069323,Spectral,KMeans
7,0.16927107285504275,0.20861910345019063,0.17415524967078655,,0.3023264900953748,Spectral,KMeans
0,0.1768726292342893,0.19279504195250374,0.17268890661546976,,0.3303815560409673,Spectral,FuzzyCMeans
78,0.1785834912036512,0.17086537656655576,0.16939004952472828,,0.3431305913051397,Spectral,FuzzyCMeans
9,0.1778435009037101,0.20247693406200373,0.1741864843560471,,0.30081933955418294,Spectral,FuzzyCMeans
61,0.1834662971137986,0.18844527110343978,0.16449538736728564,,0.30301071547036984,Spectral,FuzzyCMeans
57,0.17383131768458526,0.18807161020014412,0.1722584119943557,,0.2965096540803226,Spectral,FuzzyCMeans
84,0.1831341698123809,0.187265989408435,0.18187063695622263,,0.3030026114947093,Spectral,FuzzyCMeans
19,0.18201679630394596,0.19378818590238853,0.1646879526789996,,0.3046584983605136,Spectral,FuzzyCMeans
56,0.17943150839860345,0.19677639676398417,0.16501654919456177,,0.3013697015677813,Spectral,FuzzyCMeans
2,0.1760494111162858,0.17849977664780164,0.163919047502824,,0.2792951298731148,Spectral,FuzzyCMeans
14,0.1869793748159726,0.1933228038902415,0.16594443141295842,,0.29847460062806774,Spectral,FuzzyCMeans
87,0.17220707234556754,0.18342647205135032,0.16723055039380985,,0.30118423252267446,Spectral,FuzzyCMeans
46,0.17164810463830416,0.19224650713053787,0.17081689321745153,,0.29819034397294375,Spectral,FuzzyCMeans
Average,0.1771855067033897,0.19470975013696717,0.17082748990147711,0.22043448456656878,0.3057245735939856,Spectral,FuzzyCMeans
